t,field,value,color,status,reason,raw
10.0,SPEED,10.2,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
10.0,POWER,130,NEUTRAL,OK,power_present,{age_s=0.0}
10.0,HR,109,NEUTRAL,OK,hr_present,{age_s=0.0}
10.0,CADENCE,36,AMBER,OK,outside_preferred_band,{age_s=0.0}
10.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
10.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
10.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
10.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
11.0,SPEED,10.2,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
11.0,POWER,81,NEUTRAL,OK,power_present,{age_s=0.0}
11.0,HR,109,NEUTRAL,OK,hr_present,{age_s=0.0}
11.0,CADENCE,36,AMBER,OK,outside_preferred_band,{age_s=0.0}
11.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
11.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
11.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
11.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
12.0,SPEED,11.4,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
12.0,POWER,38,NEUTRAL,OK,power_present,{age_s=0.0}
12.0,HR,108,NEUTRAL,OK,hr_present,{age_s=0.0}
12.0,CADENCE,25,AMBER,OK,outside_preferred_band,{age_s=0.0}
12.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
12.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
12.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
12.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
13.0,SPEED,11.2,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
13.0,POWER,38,NEUTRAL,OK,power_present,{age_s=0.0}
13.0,HR,108,NEUTRAL,OK,hr_present,{age_s=0.0}
13.0,CADENCE,25,AMBER,OK,outside_preferred_band,{age_s=0.0}
13.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
13.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
13.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
