t,field,value,color,status,reason,raw
13.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
14.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
14.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
14.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
14.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
14.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
14.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
15.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
15.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
15.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
15.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
15.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
15.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
16.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
16.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
16.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
16.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
16.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
16.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
17.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
17.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
17.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
17.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
17.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
17.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
18.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
18.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
18.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
18.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
18.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
18.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
19.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
19.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
19.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
19.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
19.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
19.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
20.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
20.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
20.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
20.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
20.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
20.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
